0,1,2,3,4,5,6,7,8
28341,36438.0,/photos/132/originals/lr9XLzRQJPFhewUWH14DJxvkjtvnRTL4.jpg,/photos/132/compact/lr9XLzRQJPFhewUWH14DJxvkjtvnRTL4.jpg,/photos/132/preview/lr9XLzRQJPFhewUWH14DJxvkjtvnRTL4.jpg,/photos/132/thumbnail/lr9XLzRQJPFhewUWH14DJxvkjtvnRTL4.jpg,315.0,36438.0,Березка
42750,22292.0,/photos/199/originals/4xnT2ycdIb892Xx2kQ2ps1dyzWCp7NIz.jpg,/photos/199/compact/4xnT2ycdIb892Xx2kQ2ps1dyzWCp7NIz.jpg,/photos/199/preview/4xnT2ycdIb892Xx2kQ2ps1dyzWCp7NIz.jpg,/photos/199/thumbnail/4xnT2ycdIb892Xx2kQ2ps1dyzWCp7NIz.jpg,315.0,22292.0,Березка
49342,17929.0,/photos/227/originals/vnBx3GtUTYBru1hIUioWKLkJvgigEAaP.jpg,/photos/227/compact/vnBx3GtUTYBru1hIUioWKLkJvgigEAaP.jpg,/photos/227/preview/vnBx3GtUTYBru1hIUioWKLkJvgigEAaP.jpg,/photos/227/thumbnail/vnBx3GtUTYBru1hIUioWKLkJvgigEAaP.jpg,315.0,17929.0,Березка
42508,13516.0,/photos/197/originals/RlFmrN1se3lNAqUX5Cd0Sm5Mk97k4Oys.jpg,/photos/197/compact/RlFmrN1se3lNAqUX5Cd0Sm5Mk97k4Oys.jpg,/photos/197/preview/RlFmrN1se3lNAqUX5Cd0Sm5Mk97k4Oys.jpg,/photos/197/thumbnail/RlFmrN1se3lNAqUX5Cd0Sm5Mk97k4Oys.jpg,315.0,13516.0,Березка
42509,31092.0,/photos/197/originals/BWz25ChJ8CgKO1S8Gc26aA2hDwEZEPAY.jpg,/photos/197/compact/BWz25ChJ8CgKO1S8Gc26aA2hDwEZEPAY.jpg,/photos/197/preview/BWz25ChJ8CgKO1S8Gc26aA2hDwEZEPAY.jpg,/photos/197/thumbnail/BWz25ChJ8CgKO1S8Gc26aA2hDwEZEPAY.jpg,315.0,31092.0,Березка
28321,36429.0,/photos/132/originals/70SbX1ejEgDiCejv7gdAP6oTKrJkKZKX.jpg,/photos/132/compact/70SbX1ejEgDiCejv7gdAP6oTKrJkKZKX.jpg,/photos/132/preview/70SbX1ejEgDiCejv7gdAP6oTKrJkKZKX.jpg,/photos/132/thumbnail/70SbX1ejEgDiCejv7gdAP6oTKrJkKZKX.jpg,315.0,36429.0,Березка
58334,36193.0,/photos/276/originals/keIg3QosEeLpct3UGVEdA31YO7T9j4WE.jpg,/photos/276/compact/keIg3QosEeLpct3UGVEdA31YO7T9j4WE.jpg,/photos/276/preview/keIg3QosEeLpct3UGVEdA31YO7T9j4WE.jpg,/photos/276/thumbnail/keIg3QosEeLpct3UGVEdA31YO7T9j4WE.jpg,315.0,36193.0,Березка
49322,36240.0,/photos/227/originals/R8gI60w7qQksjRnka6iZHnd5FNNkrxVy.jpg,/photos/227/compact/R8gI60w7qQksjRnka6iZHnd5FNNkrxVy.jpg,/photos/227/preview/R8gI60w7qQksjRnka6iZHnd5FNNkrxVy.jpg,/photos/227/thumbnail/R8gI60w7qQksjRnka6iZHnd5FNNkrxVy.jpg,315.0,36240.0,Березка
42756,22289.0,/photos/199/originals/h9HzHuQ7SrX1kTv793czcZJhMuG2NR90.jpg,/photos/199/compact/h9HzHuQ7SrX1kTv793czcZJhMuG2NR90.jpg,/photos/199/preview/h9HzHuQ7SrX1kTv793czcZJhMuG2NR90.jpg,/photos/199/thumbnail/h9HzHuQ7SrX1kTv793czcZJhMuG2NR90.jpg,315.0,22289.0,Березка
56934,34636.0,/photos/267/originals/CVh1bwvt3oSRPKhpplr1afQ3auZdcv0f.jpg,/photos/267/compact/CVh1bwvt3oSRPKhpplr1afQ3auZdcv0f.jpg,/photos/267/preview/CVh1bwvt3oSRPKhpplr1afQ3auZdcv0f.jpg,/photos/267/thumbnail/CVh1bwvt3oSRPKhpplr1afQ3auZdcv0f.jpg,315.0,34636.0,Березка
